Country,Type,k,b
Non-OECD Americas,F,-0.004227051171878611,8.836604430545053
Non-OECD Americas,N,1.9945940443569536e-06,0.016541360889372754
Non-OECD Americas,R,0.0040175769192727345,-7.4361308355282745
Non-OECD Asia (including China),F,-0.010761575527242774,22.439934755422332
Non-OECD Asia (including China),N,0.0018419935653673516,-3.6816971569729406
Non-OECD Asia (including China),R,0.009012814241285111,-17.947746840119212
Non-OECD Europe and Eurasia,F,-0.0041697858255005235,9.042598236950518
Non-OECD Europe and Eurasia,N,0.001166181104010923,-2.174715859987023
Non-OECD Europe and Eurasia,R,0.0029645686143121505,-5.790999984695433
Middle East,F,-0.001811513853486114,4.6220500793835075
Middle East,N,0.0011371123554329698,-2.286511919730017
Middle East,R,0.0006743844567375187,-1.3355038659057241
IEA Total,F,-0.008793253712511573,18.297053262355853
IEA Total,N,-0.0023630105073359857,4.946682959661676
IEA Total,R,0.010924973520900013,-21.785501781405177
IEA and Accession/Association countries,F,-0.007354312602148449,15.46036714864351
IEA and Accession/Association countries,N,-0.0022871276318192652,4.7253886750153296
IEA and Accession/Association countries,R,0.009618746188883474,-19.14490412676238
World,F,-0.006242435572761215,13.235625968952357
World,N,-0.0019494196319438824,4.0355640883519674
World,R,0.00817689553444856,-16.245270881853283
