Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
Germany,Total,Electricity output (GWh),327249,345881,374352,390563,383770,421423,426053,447974,467573,466340,467737,468109,476810,503233,520560,521813,530467,547109,557397,547650,535826,533672,522487,525205,532814,550691,548011,552375,552545,572313,581886,581954,604680,612355,616335,633354,634437,635195,590819,626720,607283,622220,632917,621949,642388,644861,647718,634299,600977,568908,587484,574315,514560
Greece,Fossil fuels,Electricity output (GWh),8910,10444,12594,12673,14105,15964,17063,18062,18536,19248,19986,19711,21643,21942,24935,24889,27305,30795,32309,33004,32642,34877,35716,37669,37632,37910,39261,42233,44445,49118,50041,50260,51872,52756,52921,52475,58092,57143,52890,46716,50916,50560,42680,38066,36860,39316,41388,36812,32188,30561,32478,30024,23286
Greece,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,Renewable sources,Electricity output (GWh),2652,2677,2223,2347,2015,1879,1922,2988,3566,3405,3407,3561,2340,2862,2805,3235,2781,2367,1901,1771,3101,2212,2330,2637,3564,4386,3918,3787,4755,4144,2932,3577,5892,5918,6406,7679,4594,5750,8164,10537,8143,10141,14350,12179,14850,14894,13801,16148,16097,17554,22166,22447,24072
Greece,Total,Electricity output (GWh),11562,13121,14817,15020,16120,17843,18985,21050,22102,22653,23393,23272,23983,24804,27740,28124,30086,33162,34210,34775,35743,37225,38137,40381,41299,42411,43292,46180,49395,53425,53076,53945,57905,58813,59427,60179,62711,62912,61073,57382,59172,60761,57115,50345,51822,54417,55189,53246,48575,48155,54686,52525,47387
Hungary,Fossil fuels,Electricity output (GWh),14898,16213,17542,18904,20309,21885,23253,25405,24373,23764,24132,24616,23162,22302,20102,20438,18549,15575,15525,14493,15995,17472,18876,19215,19726,20612,21118,22974,23435,20713,21976,21938,22763,20831,19980,20773,23254,22736,17470,18438,17491,16078,12003,10430,11093,12300,13053,12207,12955,12962,12817,11969,9826
Hungary,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,2473,3766,6480,7424,10986,13445,13891,13731,13726,13964,13796,14049,14026,14180,13968,13949,14096,14180,14126,13953,11013,11915,13834,13461,14677,14818,15426,15761,15685,15793,15370,15649,15834,16054,16098,15733,16288,16055,15990,15812,15918
Hungary,Renewable sources,Electricity output (GWh),96,110,101,81,163,165,149,138,146,112,168,159,155,208,185,178,192,191,162,195,218,204,205,206,219,257,269,215,246,243,257,237,336,936,1870,1493,1883,2357,2895,3020,2709,2646,2787,3151,3228,3258,3480,3766,4690,5529,6915,7662,9380
Hungary,Total,Electricity output (GWh),14994,16323,17643,18985,20472,22050,23402,25543,24519,23876,24300,24775,25790,26303,26796,28064,29749,29233,29581,28436,29963,31685,32915,33515,34018,35090,35397,37190,37832,35191,36415,36157,34145,33708,35756,35859,39960,40026,35908,37371,36020,34635,30293,29402,30359,31902,32915,32067,34291,34930,36120,35775,35516
Iceland,Fossil fuels,Electricity output (GWh),49,48,87,73,73,57,70,53,56,47,35,11,7,4,4,5,5,7,6,6,7,6,5,5,9,5,4,5,5,5,4,6,6,4,5,4,2,2,2,2,2,3,5,3,4,3,2,2,3,3,2,3,4
Iceland,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,Renewable sources,Electricity output (GWh),1572,1746,2233,2293,2250,2392,2562,2654,2899,3137,3260,3622,3821,3973,3896,4109,4205,4471,4531,4504,4487,4540,4722,4775,4972,5118,5582,6276,7183,7679,8029,8410,8494,8619,8681,9925,11973,16465,16832,17057,17209,17546,18111,18120,18795,18547,19236,19828,19486,19124,19612,20118,20239
Iceland,Total,Electricity output (GWh),1621,1794,2320,2366,2323,2449,2632,2707,2955,3184,3295,3633,3828,3977,3900,4114,4210,4478,4537,4510,4494,4546,4727,4780,4981,5123,5586,6281,7188,7684,8033,8416,8500,8623,8686,9929,11975,16467,16834,17059,17211,17549,18116,18123,18799,18550,19239,19830,19489,19127,19614,20120,20243
Ireland,Fossil fuels,Electricity output (GWh),5838,6207,6704,6845,7000,7714,8272,8948,9814,9728,9667,9728,10000,10548,10908,11388,11948,12023,12842,13532,14184,14958,15369,15889,16875,18157,18880,19708,20641,22488,23605,23461,23723,23821,23753,24641,25556,26320,23849,24448,21740,21837,19883,19346,20167,22635,21631,20396,18621,18218,19651,20218,16948
