page,name,url
4,ORD-02 Chicago,https://www.datacenters.com/aligned-energy-ord-02-chicago
4,Northern Virginia IAD39 Data Center,https://www.datacenters.com/digital-realty-northern-virginia-iad39
4,SDC Quincy Data Center,https://www.datacenters.com/sabey-sdc-quincy
4,IAD1 - Ashburn Data Center,https://www.datacenters.com/databank-iad1-ashburn
4,Ang Mo Kio Data Center,https://www.datacenters.com/singtel-ang-mo-kio
4,MNL1 Manila Data Center,https://www.datacenters.com/zenlayer-mnl1-manila
4,FRA1 Frankfurt Data Center,https://www.datacenters.com/cyrusone-fra1-frankfurt
4,NY7 North Bergen Data Center,https://www.datacenters.com/equinix-ny7-north-bergen
4,DC12 Ashburn Data Center,https://www.datacenters.com/equinix-dc12-ashburn
4,LD9 London Data Center,https://www.datacenters.com/equinix-ld9-london
4,Chicago ORD10 Data Center,https://www.datacenters.com/digital-realty-chicago-ord10
4,Frankfurt FRA7 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra7
4,AD1 Masdar City Data Center,https://www.datacenters.com/equinix-ad1-masdar-city
4,MT1 Montreal IBX Data Center,https://www.datacenters.com/equinix-mt1-montreal-ibx
4,MD2 Madrid Data Center,https://www.datacenters.com/equinix-md2-madrid
4,BER1 Berlin 1 Data Center Campus,https://www.datacenters.com/vantage-ber1-berlin-1-campus
4,LAX3 (Los Angeles) Irvine Data Center Campus,https://www.datacenters.com/centersquare-lax3-los-angeles-irvine-campus
4,SK1 Bromma Data Center,https://www.datacenters.com/equinix-sk1-bromma
4,Ashburn-Broderick Data Center,https://www.datacenters.com/qts-ashburn-broderick
5,FRA1 Frankfurt I Data Center Campus,https://www.datacenters.com/vantage-fra1-frankfurt-i-campus
5,LS1 Lisbon Data Center,https://www.datacenters.com/equinix-ls1-lisbon
5,SV3 San Jose Data Center,https://www.datacenters.com/equinix-sv3-san-jose
5,PA10 Paris IBX Data Center,https://www.datacenters.com/equinix-pa10-paris-ibx
5,Texas 1 Data Center,https://www.datacenters.com/switch-texas-1
5,CU3 Culpeper Data Center,https://www.datacenters.com/equinix-cu3-culpeper
5,Akron I & II Data Center,https://www.datacenters.com/involta-akron-i-ii
5,NJE - 1 - New Jersey Data Center,https://www.datacenters.com/iron-mountain-nje-1-new-jersey
5,FR1 Frankfurt am Main Data Center,https://www.datacenters.com/equinix-fr1-frankfurt-am-main
5,"Phoenix, AZ Data Center",https://www.datacenters.com/aligned-energy-phoenix-az
5,ATL1 Atlanta Data Center Campus,https://www.datacenters.com/centersquare-atl1-atlanta-campus
5,Chennai 01 Tidel Park,https://www.datacenters.com/sify-technologies-limited-chennai-01-tidel-park
5,Frankfurt FRA31 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra31
5,LD4 Slough Data Center,https://www.datacenters.com/equinix-ld4-slough
5,Frankfurt Data Center,https://www.datacenters.com/telehouse-frankfurt
5,Markham Data Centre,https://www.datacenters.com/core-data-centres-markham-data-centre
5,BR1 Brisbane Data Center,https://www.datacenters.com/equinix-br1-brisbane
5,Tecno Alcala,https://www.datacenters.com/telefonica-global-solutions-tecno-alcala
5,Frankfurt FRA18 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra18
5,Frankfurt FRA4 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra4
5,DB3 Ballycoolin Data Center,https://www.datacenters.com/equinix-db3-ballycoolin
5,AM7 Amsterdam IBX Data Center,https://www.datacenters.com/equinix-am7-amsterdam-ibx
5,Berlin Data Center,https://www.datacenters.com/atlasedge-data-centres-berlin
5,Frankfurt FRA6 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra6
5,FR11x Frankfurt xScale Data Center,https://www.datacenters.com/equinix-fr11x-frankfurt-xscale
5,Frankfurt Data Center,https://www.datacenters.com/china-mobile-international-ltd-frankfurt
5,DFW2 - North Dallas Data Center,https://www.datacenters.com/databank-dfw2-north-dallas
5,HKG3 Kwai Chung Data Center,https://www.datacenters.com/vantage-hkg3-kwai-chung
5,SAN1 San Diego World Trade Data Center,https://www.datacenters.com/databank-san1-san-diego-world-trade
5,GA2 Smyrna Data Center,https://www.datacenters.com/365-ga2-smyrna
5,Amsterdam AMS3 Data Center,https://www.datacenters.com/digital-realty-amsterdam-ams3
5,FRA - 2 - Frankfurt Data Center,https://www.datacenters.com/iron-mountain-fra-2-frankfurt
5,Hillsboro 1 Data Center,https://www.datacenters.com/qts-hillsboro-1
5,Hong Kong HKG10 Data Center,https://www.datacenters.com/digital-realty-hong-kong-hkg10
5,Frankfurt Data Center,https://www.datacenters.com/china-telecom-frankfurt
5,TY6 Shinagawa-ku Data Center,https://www.datacenters.com/equinix-ty6-shinagawa-ku
5,Frankfurt FRA32 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra32
5,LD10 Slough Data Center,https://www.datacenters.com/equinix-ld10-slough
5,Bedok Data Center,https://www.datacenters.com/singtel-bedok
