total_space,total_power
15000,1
69000,2.6
175000,18
86940,6
32000,3
19150,1.49
354000,54
670000,60
93000,5.8
375000,22.5
26909.77,0.036
14174,1
75000,9
12000,1.8
12000,1.225
97000,10
500000,10
25833,1.8
45000,2.5
9500,1
31000,6
10763,1.6
28500,1.5
100000,2.9
302262,8
30600,2
33588,1.46
80000,96
142000,10
69449,18
10764,2
197000,20
10000,2.5
32291.73,3
11600,1.5
15570,1.5
50000,9
39900,1.5
399000,9.5
58000,9.6
20000,21
399000,9.5
45600,4
28000,2
113300,10
25000,5.9
47000,10.2
106866,8
20,1.1
62589,3.3
50000.0,15.0
57910,11
118403,3.6
65000,2.5
24000,45
22604.21,34
230000,4.5
19000,315
70000,6
5502,.51
38750,9
142475,6
354000,54
30000,2.4
47836,11
90000,105
12000,25
19619,.75
73000,1
9477,.5
